,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),Average Running Time (Mins),,,,
Circle ,Inner,HIGH STREET KENSINGTON,GLOUCESTER ROAD,1.80,2.66,2.90,2.45,,,,
Circle ,Inner,GLOUCESTER ROAD,SOUTH KENSINGTON,1.43,1.50,1.50,1.48,,,,
Circle ,Inner,SOUTH KENSINGTON,SLOANE SQUARE,1.98,2.00,2.00,1.99,,,,
Circle ,Inner,SLOANE SQUARE,VICTORIA,1.80,2.00,2.00,1.93,,,,
Circle ,Inner,VICTORIA,ST JAMES PARK,1.42,1.50,1.50,1.47,,,,
Circle ,Inner,ST JAMES PARK,WESTMINSTER,1.50,2.00,2.00,1.83,,,,
Circle ,Inner,WESTMINSTER,EMBANKMENT,1.37,2.00,2.00,1.79,,,,
Circle ,Inner,EMBANKMENT,TEMPLE,1.37,2.00,2.00,1.79,,,,
Circle ,Inner,TEMPLE,BLACKFRIARS,1.40,2.00,2.00,1.80,,,,
Circle ,Inner,BLACKFRIARS,MANSION HOUSE,1.52,1.95,1.52,1.66,,,,
Circle ,Inner,MANSION HOUSE,CANNON STREET,0.98,1.00,1.00,0.99,,,,
Circle ,Inner,CANNON STREET,MONUMENT,0.97,1.50,1.50,1.32,,,,
Circle ,Inner,MONUMENT,TOWER HILL,1.80,2.00,2.07,1.96,,,,
Circle ,Inner,TOWER HILL,ALDGATE,1.30,4.05,3.18,2.84,,,,
Circle ,Inner,ALDGATE,LIVERPOOL STREET,1.75,2.00,2.42,2.06,,,,
Circle ,Inner,LIVERPOOL STREET,MOORGATE,1.32,1.50,1.50,1.44,,,,
Circle ,Inner,MOORGATE,BARBICAN,1.38,1.50,1.50,1.46,,,,
Circle ,Inner,BARBICAN,FARRINGDON,1.20,1.92,1.51,1.54,,,,
Circle ,Inner,FARRINGDON,KINGS CROSS & ST PANCRAS INTERNATIONAL,3.12,3.50,3.50,3.37,,,,
Circle ,Inner,KINGS CROSS & ST PANCRAS INTERNATIONAL,EUSTON SQUARE,1.65,2.00,2.00,1.88,,,,
Circle ,Inner,EUSTON SQUARE,GREAT PORTLAND STREET,1.30,1.50,1.50,1.43,,,,
Circle ,Inner,GREAT PORTLAND STREET,BAKER STREET,1.57,2.90,2.07,2.18,,,,
Circle ,Inner,BAKER STREET,EDGWARE ROAD,1.88,3.60,3.08,2.86,,,,
Circle ,Inner,EDGWARE ROAD,PADDINGTON (H&C),2.08,2.00,2.00,2.03,,,,
Circle ,Inner,PADDINGTON (H&C),ROYAL OAK,1.33,1.50,1.50,1.44,,,,
